Row_Number,Channel,SYRS_ID,Category,Generated_VC,Primary_Rater,P_C,P_N,P_U,P_Notes,Secondary_Rater,S_C,S_N,S_U,S_Notes,E1_Correctness_1to5,E1_Novelty_YN,E1_Usefulness_YN,E1_Scope_ECU_Net_HW_OOS,E1_Notes
135,B-NHTSA,SYRS.1136,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.1136.NHTSA.1"" |     Title: ""Verify Safe State Transition on Fault Injection with Air Conditioning Active (Timing-Violation)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Power on the system in normal operation. |         2. <SIG> the air conditioning system. |         3. Simulate a stop light scenario by setting the vehicle to idle. |         4. Inject a timing-violation fault into the Left Stalk signal path (e.g., introduce a delay or jitter in the signal). |         5. Monitor the system output (CAN Signal/Status). |         6. Verify the system transitions to the 'Safe State' (e.g., Signal Value = 'Invalid/SNA' or Default Value) within the FRTI. |       Fail: | |         - The system does not transition to the 'Safe State' within the FRTI. |         - The system exhibits un<SIG> behavior (e.g., shaking, erratic signals) without transitioning to the 'Safe State'. |     Source_Complaint: ODI#11541230 (TOYOTA COROLLA) |  | - VC_Item: |     VC_ID: ""VC_SYRS.1136.NHTSA.2"" |     Title: ""Verify Safe State Transition on Fault Injection after <SIG> Driving (State-Stuck)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Power on the system in normal operation. |         2. Drive the vehicle for approximately 30 minutes. |         3. Perform a slight left/right steering input. |         4. Inject a state-stuck fault into the Left Stalk signal path (e.g., simulate a stuck signal value). |         5. Monitor the system output (CAN Signal/Status). |         6. Verify the system transitions to the 'Safe State' (e.g., Signal Value = 'Invalid/SNA' or Default Value) within the FRTI. |       Fail: | |         - The system does not transition to the 'Safe State' within the FRTI. |         - The system exhibits un<SIG> behavior (e.g., sticky or stuck steering) without transitioning to the 'Safe State'. |     Source_Complaint: ODI#11508600 (HONDA CIVIC)",E2,4,Y,Y,Challenge-<SIG> PKI execution latency constraint (200ms limit).,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,4,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
136,B-NHTSA,SYRS.0260,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0260.NHTSA.1"" |     Title: ""Verify BIST Execution and Pass After Normal Daytime Operation (State-Stuck Fault)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Power on the ECU (Nominal Voltage) after a period of normal daytime operation. |         2. Allow the startup sequence to complete. |         3. Read the 'Safety Self-Test Status' via diagnostic service (e.g., UDS $0\text{x}22$). |         4. Verify the 'Stack Monitor BIST' status bit indicates 'Run' and 'Passed'. |       Fail: | |         - Status bit indicates 'Not Run' or 'Failed'. |         - ECU hangs during the startup sequence. |     Source_Complaint: ODI#11639587 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0260.NHTSA.2"" |     Title: ""Verify BIST Execution and Pass After Overnight Parking (State-Stuck Fault)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Park the vehicle overnight. |         2. Power on the ECU (Nominal Voltage) in the morning. |         3. Allow the startup sequence to complete. |         4. Read the 'Safety Self-Test Status' via diagnostic service (e.g., UDS $0\text{x}22$). |         5. Verify the 'Stack Monitor BIST' status bit indicates 'Run' and 'Passed'. |       Fail: | |         - Status bit indicates 'Not Run' or 'Failed'. |         - ECU hangs during the startup sequence. |     Source_Complaint: ODI#11519437 (HONDA CIVIC)",E2,4,Y,Y,Session transition 0x03 to 0x01 resets authentication state correctly.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,4,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
138,B-NHTSA,SYRS.0035_E_B,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0035_E_B.NHTSA.1"" |     Title: ""Verify Safe State Transition After Prolonged Operation (MOSFET OFF)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Operate the ECU under normal conditions for 30 minutes. |         2. Inject a System Fault (SYRS.0035_E_A) after 30 minutes of operation. |         3. Monitor the Gate-Source Voltage (Vgs) of MOSFETs. |         4. Verify Vgs drops to 0V (OFF state) within 20ms of fault <SIG>. |         5. Verify Current = 0A. |       Fail: | |         - MOSFET remains ON or enters an undefined state. |         - Vgs does not drop to 0V within 20ms. |         - Current is not 0A. |     Source_Complaint: ODI#11508600 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0035_E_B.NHTSA.2"" |     Title: ""Verify Safe State Transition During Adaptive Cruise Control (MOSFET OFF)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. <SIG> the adaptive cruise control and set it to a random speed. |         2. Inject a System Fault (SYRS.0035_E_A) while the adaptive cruise control is active. |         3. Monitor the Gate-Source Voltage (Vgs) of MOSFETs. |         4. Verify Vgs drops to 0V (OFF state) within 20ms of fault <SIG>. |         5. Verify Current = 0A. |       Fail: | |         - MOSFET remains ON or enters an undefined state. |         - Vgs does not drop to 0V within 20ms. |         - Current is not 0A. |     Source_Complaint: ODI#11577844 (HONDA CIVIC)",E2,1,Y,N,Requires pulling <SIG_89> to 12V natively. <SIG>ly damages ECU hardware.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,1,Y,N,Network,E1:G1-<SIG>-Reject|follow-E2
141,B-NHTSA,SYRS.0473_C_B,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0473_C_B.NHTSA.1"" |     Title: ""Verify <SIG> Activation During TPMS Warning and Steering Wobble"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection, State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate normal driving conditions for approximately 10 minutes. |         2. Trigger the TPMS warning light to illuminate. |         3. Introduce two progressive steering wobbles within a short interval (e.g., 10 seconds) after the TPMS warning. |         4. Monitor the '<SIG>' signal on the communication bus. |         5. Verify that '<SIG>' transitions to 'True' within 10 ms of the first steering wobble. |       Fail: | |         - '<SIG>' remains 'False'. |         - Transition latency exceeds 10 ms. |         - '<SIG>' does not transition to 'True' after the first or second steering wobble. |     Source_Complaint: ODI#11583178 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0473_C_B.NHTSA.2"" |     Title: ""Verify <SIG> Activation After <SIG> Driving Period with Steering Input"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection, Boundary Value Analysis"" |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate driving conditions for approximately 20-30 minutes. |         2. Apply steering input at both high and low speeds. |         3. Monitor the '<SIG>' signal on the communication bus. |         4. Verify that '<SIG>' transitions to 'True' within 10 ms of the steering input. |       Fail: | |         - '<SIG>' remains 'False'. |         - Transition latency exceeds 10 ms. |         - '<SIG>' does not transition to 'True' after the steering input. |     Source_Complaint: ODI#11563390 (HONDA CIVIC)",E2,4,Y,Y,Partial Networking (PN) wake-up pattern match sequence.,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,4,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
142,B-NHTSA,SYRS.0262_A,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0262_A.NHTSA.1"" |     Title: ""Verify <SIG> Detection During High Ambient Temperature and AC System Demand"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition, Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set the environmental temperature to 100°F (37.8°C). |         2. Simulate high AC system demand (e.g., set AC to maximum cooling). |         3. Verify that the internal '<SIG_95>' flag is SET (True) when the temperature exceeds [<SIG_96>] (85.0°C). |         4. Ensure the ECU takes appropriate action (e.g., reduces power to non-critical systems, alerts the driver). |       Fail: | |         - The '<SIG_95>' flag is not SET at or above 85.0°C. |         - The ECU does not take appropriate action (e.g., no reduction in power, no driver alert). |     Source_Complaint: ODI#11598436 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0262_A.NHTSA.2"" |     Title: ""Verify <SIG> Detection During High Vehicle Speed and Warm Ambient Conditions"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition, Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set the environmental temperature to 85.0°C. |         2. Simulate vehicle speed exceeding 45 mph. |         3. Gradually increase the environmental temperature to 100°F (37.8°C). |         4. Verify that the internal '<SIG_95>' flag is SET (True) when the temperature exceeds [<SIG_96>] (85.0°C). |         5. Ensure the ECU takes appropriate action (e.g., reduces power to non-critical systems, alerts the driver). |       Fail: | |         - The '<SIG_95>' flag is not SET at or above 85.0°C. |         - The ECU does not take appropriate action (e.g., no reduction in power, no driver alert). |     Source_Complaint: ODI#11524506 (HONDA CIVIC)",E2,5,Y,Y,Bus off recovery strategy mapping (fast vs slow recovery times).,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,5,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
144,B-NHTSA,SYRS.0373_C_A,Functional_Safety,"- VC_Item: |     VC_ID: VC_SYRS.0373_C_A.NHTSA.1 |     Title: ""Verify <SIG> Trigger Condition with Air Conditioning Activation"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Set 'INT.Info' = Active; '<SIG>' = OFF. |         2. <SIG> the air conditioning system while driving. |         3. Stop '<SIG_85>' transmission for exactly [<SIG_98>] (e.g., 500 ms). |         4. Verify internal '<SIG_99>' is SET. |         5. Restore '<SIG_85>'. |         6. Deactivate the air conditioning system and repeat steps 2-5. |         7. Verify that '<SIG_99>' is only SET when '<SIG_85>' is missing for ≥ [<SIG_98>]. |       Fail: | |         - '<SIG_99>' is SET without '<SIG_85>' being missing for ≥ [<SIG_98>]. |         - '<SIG_99>' is not SET when '<SIG_85>' is missing for ≥ [<SIG_98>] and air conditioning is activated. |     Source_Complaint: ODI#11609213 (TOYOTA CAMRY) |  | - VC_Item: |     VC_ID: VC_SYRS.0373_C_A.NHTSA.2 |     Title: ""Verify <SIG> Trigger Condition During Random Uncommanded Events"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Set 'INT.Info' = Active; '<SIG>' = OFF. |         2. Simulate a random uncommanded event during normal vehicle operation (e.g., sudden change in sensor readings, un<SIG> ECU reset). |         3. Stop '<SIG_85>' transmission for exactly [<SIG_98>] (e.g., 500 ms). |         4. Verify internal '<SIG_99>' is SET. |         5. Restore '<SIG_85>'. |         6. Repeat steps 2-5 with '<SIG>' = ON. |         7. Verify that '<SIG_99>' is only SET when '<SIG_85>' is missing for ≥ [<SIG_98>]. |       Fail: | |         - '<SIG_99>' is SET without '<SIG_85>' being missing for ≥ [<SIG_98>]. |         - '<SIG_99>' is not SET when '<SIG_85>' is missing for ≥ [<SIG_98>] and a random uncommanded event occurs. |     Source_Complaint: ODI#11684150 (HONDA CIVIC)",E2,4,Y,Y,XCP STIM data overwrite protection timing.,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,4,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
145,B-NHTSA,SYRS.0373_C_B,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0373_C_B.NHTSA.1"" |     Title: ""Verify Fail-Safe State Transition Latency with Air Conditioning <SIG>"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection, Performance Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set the vehicle to a stop condition (e.g., at a stop light). |         2. <SIG> the air conditioning system. |         3. Trigger '<SIG_99>' (Stop Msg + Logic True). |         4. Monitor '<SIG_87>.info'. |         5. Verify signal transitions to '<SIG_88>' within 100 ms of timeout expiry. |       Fail: | |         - Signal remains in previous state. |         - Signal transitions to state other than '<SIG_88>'. |         - Latency > 100 ms. |     Source_Complaint: ODI#11541230 (TOYOTA COROLLA) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0373_C_B.NHTSA.2"" |     Title: ""Verify Fail-Safe State Transition Latency During Rainy Conditions"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Environmental Simulation, Performance Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set the vehicle to a stop condition (e.g., at a traffic light) during simulated rainy conditions. |         2. Allow the vehicle to idle for ~15 seconds. |         3. Trigger '<SIG_99>' (Stop Msg + Logic True). |         4. Monitor '<SIG_87>.info'. |         5. Verify signal transitions to '<SIG_88>' within 100 ms of timeout expiry. |       Fail: | |         - Signal remains in previous state. |         - Signal transitions to state other than '<SIG_88>'. |         - Latency > 100 ms. |     Source_Complaint: ODI#11511343 (TOYOTA COROLLA)",E2,2,N,N,XCP disconnect does not match <SIG> ASAM specification sequence.,E3,3,Y,Y,Light condition scenario; core SYRS check preserved; HW needed,2,N,N,Network,E1:G1-<SIG>-Reject|follow-E2
146,B-NHTSA,SYRS.0444_C_A,Functional_Safety,"- VC_Item: |     VC_ID: VC_SYRS.0444_C_A.NHTSA.1 |     Title: ""Verify System Response to Un<SIG> Lock During Normal Driving"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Set 'BRAKE1.<SIG>' to '<SIG_100>'. |         2. Send '<SIG_101>' while the vehicle is in motion (e.g., at 60 km/h). |         3. Verify that the '<SIG_102>' is SET and no un<SIG> lock occurs. |       Fail: | |         - The system locks the vehicle un<SIG>ly while in motion, or |         - The '<SIG_102>' is not SET. |     Source_Complaint: ODI#11544007 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: VC_SYRS.0444_C_A.NHTSA.2 |     Title: ""Verify System Response to False Activation of Lock at Highway Speeds"" |     Method: |       Type: Dynamic |       Technique: Boundary Value Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Set 'BRAKE1.<SIG>' to '<SIG_100>'. |         2. Send '<SIG_101>' while the vehicle is traveling at highway speeds (e.g., 120 km/h). |         3. Verify that the '<SIG_102>' is SET and no false activation of the lock occurs. |       Fail: | |         - The system falsely activates the lock at highway speeds, or |         - The '<SIG_102>' is not SET. |     Source_Complaint: ODI#11583874 (HONDA CIVIC)",E2,4,Y,Y,Flash bootloader header signature invalidation check.,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,4,Y,Y,Network,E1:G3b-Accept-HIL/MIL|follow-E2
151,B-NHTSA,SYRS.0861_A_B,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0861_A_B.NHTSA.1"" |     Title: ""Verify <SIG> Fault Detection and Safe State During Vehicle Power-On (Fault Injection)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set up the ECU in a vehicle power-on state. |         2. Inject Fault: Set <SIG_109>=High, <SIG_110>=High (Both active) for 110ms during the power-on sequence. |         3. Verify 'Apply' request is rejected and DTC 0x51A2 is 'Confirmed'. |         4. Verify system enters 'Inhibit' state (Safety integrity). |       Fail: | |         - Fault is ignored or safe state is not reached within 100ms. |         - DTC 0x51A2 is not logged. |     Source_Complaint: ODI#11677962 (BMW 5 SERIES) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0861_A_B.NHTSA.2"" |     Title: ""Verify <SIG> Fault Detection and Safe State with Air Conditioning System <SIG> (Fault Injection)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set up the ECU in a normal operation state with the air conditioning system activated. |         2. Inject Fault: Set <SIG_109>=Low, <SIG_110>=Low (Both inactive) for 110ms. |         3. Verify 'Apply' request is rejected and DTC 0x51A2 is 'Confirmed'. |         4. Verify system enters 'Inhibit' state (Safety integrity). |       Fail: | |         - Fault is ignored or safe state is not reached within 100ms. |         - DTC 0x51A2 is not logged. |     Source_Complaint: ODI#11541230 (TOYOTA COROLLA)",E2,4,Y,Y,OBD-II Service 01 PID 0C (RPM) <SIG> scaling extraction.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,4,Y,Y,ECU,E1:G3b-Accept-HIL/MIL|follow-E2
152,B-NHTSA,SYRS.0936_A,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0936_A.NHTSA.1"" |     Title: ""Verify False Activation of EPB System During Vehicle Power-On Sequence"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Configure the HIL (Hardware-in-the-Loop) system to simulate a normal vehicle power-on sequence. |         2. Inject a transient electrical disturbance (e.g., voltage spike or drop) on the actuator connection lines during the power-on sequence. |         3. Verify that the EPB system does not falsely activate and that no fault is reported. |       Fail: | |         - The EPB system falsely activates. |         - The system reports an '<SIG_111>' when there is no actual fault. |     Source_Complaint: ODI#11624889 (TOYOTA COROLLA 2022) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0936_A.NHTSA.2"" |     Title: ""Verify Random/Uncommanded Activation of EPB System During Normal Operation"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Configure the HIL system to simulate normal vehicle operation. |         2. Inject random, brief electrical disturbances (e.g., noise, transient signals) on the actuator connection lines. |         3. Verify that the EPB system does not falsely activate and that no fault is reported. |       Fail: | |         - The EPB system falsely activates. |         - The system reports an '<SIG_111>' when there is no actual fault. |     Source_Complaint: ODI#11684150 (HONDA CIVIC 2022)",E2,1,Y,N,Tests OBD emission parameters on a non-powertrain domain ECU. Architecturally invalid.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,1,Y,N,ECU,E1:G1-<SIG>-Reject|follow-E2
153,B-NHTSA,SYRS.0936_B,Functional_Safety,"- VC_Item: |     VC_ID: ""VC_SYRS.0936_B.NHTSA.1"" |     Title: ""Verify Fault Reaction to False Activation During Power-On Sequence"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection, State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Power off the ECU. |         2. Inject a false activation signal (e.g., simulate a sensor error) during the power-on sequence. |         3. Measure the time from the false activation signal to the transition to '<SIG_112>'. |         4. Verify that the ECU transitions to '<SIG_112>' within 50 ms. |       Fail: | |         - ECU does not transition to '<SIG_112>' within 50 ms. |         - ECU remains in an unsafe state or continues to drive the actuator. |     Source_Complaint: ODI#11624889 (TOYOTA COROLLA) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0936_B.NHTSA.2"" |     Title: ""Verify Fault Reaction to Sensor Error During Idle Condition"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection, Performance Testing"" |     Pass_Fail_Criteria: |       Pass: | |         1. Start the vehicle and let it idle for at least 15 seconds. |         2. Inject a sensor error (e.g., simulate a faulty fuel cap causing evaporative emissions system leak detection failure). |         3. Measure the time from the sensor error to the transition to '<SIG_112>'. |         4. Verify that the ECU transitions to '<SIG_112>' within 50 ms. |       Fail: | |         - ECU does not transition to '<SIG_112>' within 50 ms. |         - ECU remains in an unsafe state or continues to drive the actuator. |     Source_Complaint: ODI#11498393 (HONDA CIVIC)",E2,5,Y,Y,NHTSA FMVSS 135 EPB dynamic deceleration rate profiling.,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,5,Y,Y,ECU,E1:G3b-Accept-HIL/MIL|follow-E2
154,B-NHTSA,SYRS.0923_B,IO_HMI,"- VC_Item: |     VC_ID: ""VC_SYRS.0923_B.NHTSA.1"" |     Title: ""Verify EPB SW3 (Actuate) False Activation During Power-On Sequence"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Connect the ECU/System to a test harness / breakout box. |         2. Simulate the vehicle power-on sequence (ignition cycle start-up). |         3. Monitor the internal signal status of Pin 3 (EPB SW3) via a debug tool. |         4. Verify that the system does not falsely recognize an 'Actuate' command during the power-on sequence. |       Fail: | |         - The system falsely recognizes an 'Actuate' command and activates the brake during the power-on sequence. |     Source_Complaint: ODI#11624889 (TOYOTA COROLLA) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0923_B.NHTSA.2"" |     Title: ""Verify EPB SW4 (Release) No-Response During Key Fob or Door Panel Switch Operation"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Connect the ECU/System to a test harness / breakout box. |         2. Simulate the user pressing the key fob button or door panel lock/unlock switch. |         3. Monitor the internal signal status of Pin 4 (EPB SW4) via a debug tool. |         4. Verify that the system correctly responds to the 'Release' command and deactivates the brake. |       Fail: | |         - The system does not respond to the 'Release' command, and the brake remains activated. |     Source_Complaint: ODI#11729796 (TOYOTA CAMRY)",E2,4,Y,Y,EPB actuator redundant release path timing constraint.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,4,Y,Y,ECU,E1:G3b-Accept-HIL/MIL|follow-E2
158,B-NHTSA,SYRS.0669_C_B,IO_HMI,"- VC_Item: |     VC_ID: VC_SYRS.0669_C_B.NHTSA.1 |     Title: ""Verify ECU Response to Cold Start After Heated Garage Exit"" |     Method: |       Type: Dynamic |       Technique: Fault Injection, Environmental Simulation |     Pass_Fail_Criteria: |       Pass: | |         1. Set the ambient temperature to 15°F (-9.4°C). |         2. Park the vehicle in a heated garage for 2 hours. |         3. Drive the vehicle for 40 minutes to simulate a warm-up cycle. |         4. Park the vehicle outside in the cold ambient temperature for 2 hours. |         5. Start the vehicle and immediately trigger the '<SIG>' DTC to Active (Time $<SIG_37>$). |         6. Identify the timestamp of the last processed input command (Time $T_{last}$). |         7. Verify Delta ($T_{last} - <SIG_37>$) < $200\text{ ms}$. (System stops processing inputs shortly after $<SIG_37>$). |       Fail: | |         - The system does not enter the input-discarding state within 200 ms of the DTC becoming Active. |         - The system continues to process inputs after 200 ms. |     Source_Complaint: ODI#11715820 (BMW 5 SERIES) |  | - VC_Item: |     VC_ID: VC_SYRS.0669_C_B.NHTSA.2 |     Title: ""Verify ECU Response to High Ambient Temperature with AC Demand"" |     Method: |       Type: Dynamic |       Technique: Fault Injection, Environmental Simulation |     Pass_Fail_Criteria: |       Pass: | |         1. Set the ambient temperature to 110°F (43.3°C). |         2. Operate the vehicle for 30 minutes with the AC system on high demand. |         3. Trigger the '<SIG>' DTC to Active (Time $<SIG_37>$). |         4. Identify the timestamp of the last processed input command (Time $T_{last}$). |         5. Verify Delta ($T_{last} - <SIG_37>$) < $200\text{ ms}$. (System stops processing inputs shortly after $<SIG_37>$). |       Fail: | |         - The system does not enter the input-discarding state within 200 ms of the DTC becoming Active. |         - The system continues to process inputs after 200 ms. |     Source_Complaint: ODI#11598436 (HONDA CIVIC)",E2,4,Y,Y,ABS wheel speed sensor missing signal degradation logic (limp-home).,E3,3,Y,N,NHTSA real-world driving scenario; core SYRS criterion preserved but OOS precondition,4,Y,Y,HW,E1:G3b-Accept-HIL/MIL|follow-E2
159,B-NHTSA,SYRS.0096_A_A,IO_HMI,"- VC_Item: |     VC_ID: ""VC_SYRS.0096_A_A.NHTSA.1"" |     Title: ""Verify UB Set During Seatbelt Unbuckling (Fault Injection)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate the vehicle being in a stopped state. |         2. Simulate the 'Tel' button being pressed and released with a press duration greater than the <SIG> <SIG> (e.g., $20\text{ ms}$). |         3. Simultaneously simulate the seatbelt being unbuckled. |         4. Verify '<SIG_113>' is set to 1 in the immediate transmission frame following the <SIG>d release, without any false-activation of other systems (e.g., airbag or seatbelt warning). |       Fail: | |         - '<SIG_113>' does not set to 1. |         - False-activation of other systems (e.g., airbag or seatbelt warning) occurs. |     Source_Complaint: ODI#11435010 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0096_A_A.NHTSA.2"" |     Title: ""Verify UB Set During Ignition Cycle (State Transition)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate the vehicle power-on sequence (ignition cycle start-up). |         2. Simulate the 'Tel' button being pressed and released with a press duration greater than the <SIG> <SIG> (e.g., $20\text{ ms}$) during the ignition cycle. |         3. Verify '<SIG_113>' is set to 1 in the immediate transmission frame following the <SIG>d release, without any false-activation of other systems (e.g., EPB Shift <SIG> Function message). |       Fail: | |         - '<SIG_113>' does not set to 1. |         - False-activation of other systems (e.g., EPB Shift <SIG> Function message) occurs. |     Source_Complaint: ODI#11624889 (TOYOTA COROLLA)",E2,4,Y,Y,Traction control torque request limitation under thermal derating conditions.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,4,Y,Y,HW,E1:G3b-Accept-HIL/MIL|follow-E2
161,B-NHTSA,SYRS.0997_B_A,IO_HMI,"- VC_Item: |     VC_ID: ""VC_SYRS.0997_B_A.NHTSA.1"" |     Title: ""Verify False-Activation Rejection (Negative Fault Injection)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""Fault Injection"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set SSU Path A = Active (e.g., High). |         2. Inject a fault in SSU Path B to simulate an uncommanded 'Active' state. |         3. Verify the BCM internal status for SSU is 'Invalid' or 'Inactive'. |       Fail: | |         - BCM status remains 'Valid/Active'. |     Source_Complaint: ODI#11684150 (HONDA CIVIC) |  | - VC_Item: |     VC_ID: ""VC_SYRS.0997_B_A.NHTSA.2"" |     Title: ""Verify Un<SIG> Lockout During ACC (Negative State Transition)"" |     Method: |       Type: ""Dynamic"" |       Technique: ""State Transition"" |     Pass_Fail_Criteria: |       Pass: | |         1. Set SSU Path A and Path B to 'Active' (e.g., High) while ACC is active. |         2. Simulate a transition of SSU Path A to 'Inactive' (e.g., Low) while keeping Path B 'Active'. |         3. Verify the BCM internal status for SSU is 'Invalid' or 'Inactive'. |       Fail: | |         - BCM status remains 'Valid/Active'. |     Source_Complaint: ODI#11448230 (HONDA CIVIC)",E2,5,Y,Y,Functional Safety (ISO 26262) ASIL-D memory partitioning violation trigger.,E3,3,Y,N,NHTSA real-world scenario; core SYRS criterion preserved; OOS precondition,5,Y,Y,ECU,E1:G3b-Accept-HIL/MIL|follow-E2
