Seq,ID,Channel,SYRS_ID,Category,Requirement,Source_ID,Source_Title,Distilled_Evidence,Similarity,Label_Relevant_YN,Notes
11,N-SYRS.0996_A,NHTSA,SYRS.0996_A,IO_HMI,"""The system shall functionally switch the logical state of all SSU signal paths (ID: 60028798) from 'Open' to 'Closed' upon mechanical actuation",11639587,"HONDA CIVIC 2022 [LANE DEPARTURE,FORWARD COLLISION AVOIDANCE]","trigger:vehicle startup after normal daytime operation | behavior:ECU systems (Lane Keeping Assist, Collision Mitigation Braking, Road Departure Mitigation, Auto High Beam, Adaptive Cruise Control) were expected to initialize and operate normally; instead, all five related warning lights illuminated indicating system deactivation or fault detection | fault_mode:state-stuck",0.5816,N,
12,N-SYRS.0157,NHTSA,SYRS.0157,Body_Control,The Rain Sensor shall NOT generate wipe requests (Ghost Wipes) when exposed to *dynamic* light fluctuations defined as intensity changes of ±500 lux within 100 ms,11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.6411,N,
13,G-SYRS.0682_B,GitHub,SYRS.0682_B,Diagnostics_DCM,"""The system shall implement deterministic error handling for $31 03 requests: 1. If the RID is not supported: Return NRC $31; 2. If the RID is supported but has not been initiated since the last power cycle: Return NRC $24 (RequestSequenceError); 3. If the RID is currently 'Active' and results are n",pylessard/python-udsoncan#37,Is it possible to send a invalid request,"trigger:UDS service $22 (ReadDataByIdentifier) with malformed request length (e.g., 2-byte header + 1-byte DID instead of required 2-byte DID) | behavior:Expected: ECU responds with negative response code (NRC) 0x13 (incorrect message length); Observed: No mechanism exists in the library to intentionally send syntactically invalid UDS requests for NRC testing | fault_mode:missing response",0.6461,N,
14,G-SYRS.0006_D_A,GitHub,SYRS.0006_D_A,Diagnostics_DCM,"""The ECU shall revert to full communication (enable both Tx and Rx) upon receipt of an 'EnableRxAndTx' command, and this re-enablement shall be completed within 10 ms",pylessard/python-udsoncan#159,Connection error after Reset,"trigger:ECU reset service (UDS 0x11) execution via DoIP transport | behavior:Expected: ECU resets and remains reachable for subsequent UDS session; Observed: Transport connection terminates abruptly with TCP RST or broken pipe, preventing reconnection | fault_mode:protocol non-compliance",0.6702,N,
15,G-SYRS.0039_B_A,GitHub,SYRS.0039_B_A,Diagnostics_DEM,"""The system shall implement diagnostic voltage zones to detect 'Short to Vbat' (Voltage > P_Vbat_Threshold) and 'Short to GND' (Voltage < P_GND_Threshold), utilizing a P_Hysteresis voltage band for fault clearing",pylessard/python-udsoncan#33,Messages using 'suppress_positive_response' are not sent.,"trigger:UDS diagnostic session control request with suppress_positive_response flag set, using vector hardware on Windows | behavior:Expected: UDS request with suppression bit set should be transmitted over ISO-TP without waiting for or expecting a positive response. Observed: Message is not transmitted unless debugger breakpoint is hit — indicating race condition or timing-dependent transmission ",0.5195,N,
16,N-SYRS.0207_A,NHTSA,SYRS.0207_A,Body_Control,"""Upon system wake-up, the Humidity Sensor algorithm shall set the 'Response Dynamic Factor' to 100% (No Filter) within 10 ms to ensure rapid initial measurement",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.5438,N,
17,N-SYRS.0139_C,NHTSA,SYRS.0139_C,Body_Control,"""When the Rain Sensor is Inactive (and NOT in fault or cranking states), the system shall set the LIN signal 'RS_Wischergeschwindigkeit' to 0 (Wiper Off/Park) within 100 ms",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.7004,N,
18,G-SYRS.0453_B_B,GitHub,SYRS.0453_B_B,Communication_Stack,"""When a 'Lock_Sequence_Error' is confirmed, the system shall transmit the 'ESL_BCM_RESPONSE' message with the NACK signal set to 'LK_FAIL' (Value: per SYRS_747). The transmission shall be initiated within 10 ms of the error confirmation",hardbyte/python-can#2060,slcan doesn't receive corresponding response after sending can message.,"trigger:slcan protocol service 'T'/'t' (transmit CAN frame) with physical disconnection of CAN wires | behavior:Expected: slcan interface to read and return ACK ('>') on success or NACK ('.') on failure; Observed: no response read, leading to false success reporting | fault_mode:missing response",0.6219,N,
19,N-SYRS.0268_B,NHTSA,SYRS.0268_B,Functional_Safety,"""When 'Low_Light_Safety_Condition' (SYRS.0268_A) is Active, the System shall inhibit (prevent) the execution of any 'Light_Deactivation_Request",11592036,"HONDA CIVIC 2022 [FORWARD COLLISION AVOIDANCE,LANE DEPARTURE]","trigger:periodic activation of forward collision avoidance and lane departure systems | behavior:system was expected to operate normally without false warnings or deactivation; instead, multiple warning lights illuminate (lane departure disabled, braking system error, reduced braking performance warning) indicating loss of functionality and service request | fault_mode:false-activation",0.6104,N,
20,N-SYRS.0141_B_1,NHTSA,SYRS.0141_B_1,Body_Control,"""Under 'Night Condition' (< 50 lux), the system shall increase the target wiper activation frequency by a factor of 1.5 for the same detected rain intensity",11549955,TOYOTA CAMRY 2022 [VISIBILITY/WIPER],"trigger:activation of windshield wipers in heavy rain | behavior:wipers expected to operate at nominal speed per selected setting (e.g., high-speed intermittent or continuous) but operated at drastically reduced speed, impairing visibility | fault_mode:state-stuck",0.6329,N,
21,N-SYRS.0414_B_B,NHTSA,SYRS.0414_B_B,System_State,"""Upon exiting SS8, the ESCL shall resume all active Application Timers from their last stored count. The system shall compensate for the OS tick-skip during the transition to ensure timer accuracy within $\pm 1$ ms relative to the pre-interruption state",11530463,"HONDA CIVIC 2022 [STEERING,LANE DEPARTURE]","trigger:vehicle operation at speeds above 40 mph, particularly during highway driving and lane-keeping | behavior:expected: EPS/LKA system to provide stable, assistive steering torque for straight-line tracking and gentle lateral correction; actual: uncommanded steering oscillation (side-to-side), intermittent loss of assist (stiffness), and transient lock-up events causing loss of directional con",0.5396,N,
22,G-SYRS.1097_A_B,GitHub,SYRS.1097_A_B,Diagnostics_DEM,"""The updated DTC status and snapshots (Freeze Frames) shall be synchronized to NVM within 500ms of fault maturation",pylessard/python-udsoncan#243,Consecutive Frame timing,"trigger:UDS Transfer Data service (0x36) with multi-frame payload requiring consecutive frames (CF), under timing-sensitive ECU reception constraints | behavior:Consecutive Frames transmitted with ~0.5–0.6 ms inter-frame spacing; expected behavior is compliance with ISO 15765-2 N_Cr (minimum separation time between CFs) — observed spacing is likely below the target ECU’s N_Cr requirement, causing ",0.6184,N,
23,G-SYRS.0346_B,GitHub,SYRS.0346_B,Communication_Stack,"""The system shall transmit the CAN message (ID 0x101) with a nominal cycle time of 10 ms",hardbyte/python-can#1176,10ms periodic CAN frame exported in 17 ms,trigger:CAN cyclic send task with 10ms period using python-can PCAN backend | behavior:Expected periodic transmission every 10ms (± tolerance); observed ~17ms interval — indicating significant timing drift beyond typical OS scheduling jitter or hardware timer resolution limits | fault_mode:timing violation,0.7068,Y,
24,G-SYRS.1019_E_B,GitHub,SYRS.1019_E_B,Diagnostic_Services,"""The system shall respond to the RID 0x1005 execution request within the P2_CAN_Server timing (Standard: 50 ms). If the sub-function or controlOption is invalid, the system shall return NRC $12 (SubFunctionNotSupported) or $31 (RequestOutOfRange)",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.7224,N,
25,N-SYRS.0373_C_B,NHTSA,SYRS.0373_C_B,Functional_Safety,"""Upon detection of 'Failsafe_Trigger_Condition' (SYRS.0373_C_A), the System shall transition 'ESL_OperationalModeSts.info' to 'Ignition_On' within [T_FAILSAFE_LATENCY] (100 ms)",11541230,TOYOTA COROLLA 2022 [POWER TRAIN],"trigger:vehicle at stop light with air conditioning system activated | behavior:engine idle should remain stable; instead, vehicle shook indicating unstable idle or torque fluctuation | fault_mode:timing-violation",0.5858,Y,
26,N-SYRS.0139_D_B,NHTSA,SYRS.0139_D_B,Body_Control,"""The system shall execute the signal setting defined in SYRS.0139_D_A within 100 ms of the condition being met",11616509,TOYOTA CAMRY 2021 [AIR BAGS],"trigger:vehicle operation at 30 MPH | behavior:SRS air bag system warning light illuminated with audible chime, indicating a detected fault in the air bag system; system was expected to remain silent and illuminate no warning under normal operating conditions | fault_mode:sensor-error",0.5448,Y,
27,G-SYRS.0847_D_A,GitHub,SYRS.0847_D_A,Diagnostics_DEM,"""The FES shall fully restart the 'TDIAG_START' timer (resetting elapsed time to zero) upon receiving a command or signal indicating the 'BUS-OFF DTC' (0xD40100) has been successfully reset",pylessard/python-can-isotp#76,Listener/Notifier and UDS command,trigger:CAN bus logger/notifier active during UDS ECU Reset service execution over ISO-TP | behavior:Expected: UDS client receives timely response to ECU Reset (SID 0x11); Observed: Global request timeout (2.0s) due to missed or delayed ISO-TP frames caused by bus contention or timing disruption from concurrent logging/notifying | fault_mode:timing violation,0.6648,N,
28,G-SYRS.0518_C,GitHub,SYRS.0518_C,Diagnostics_DEM,"""Each Snapshot Record shall contain the following RDIs in the specified sequence: 1) $1008 (Timestamp), 2) $1009 (Timestamp Ign On), 3) $200A (Ignition Counter), 4) $1004 (Battery Voltage), and 5) $1002 (Vehicle Speed)",pylessard/python-udsoncan#168,1904 Error returned while reading DTC snapshot,"trigger:UDS service 0x19 (ReadDTCInformation) with subfunction 0x04 (reportDTCSnapshotRecordByDTCNumber), requesting DTC C25900, receiving snapshot data containing undefined DID 0xCF00 | behavior:Expected: client should parse and return the snapshot record using configured DIDs; Observed: client raises ConfigError because DID 0xCF00 is missing from local data identifier configuration, halting resp",0.5352,N,
29,N-SYRS.0647_A_A,NHTSA,SYRS.0647_A_A,IO_HMI,"""The system shall execute a view synchronization check upon the expiry of the 'TO_confirmation_view_change' timer (Value: 500 ms). IF the current displayed layer is inconsistent with the 'LC_FES_Viewmode' signal, THEN the FES shall transition the displayed layer to match the value of 'LC_FES_Viewmod",11592036,"HONDA CIVIC 2022 [FORWARD COLLISION AVOIDANCE,LANE DEPARTURE]","trigger:periodic activation of forward collision avoidance and lane departure systems | behavior:system was expected to operate normally without false warnings or deactivation; instead, multiple warning lights illuminate (lane departure disabled, braking system error, reduced braking performance warning) indicating loss of functionality and service request | fault_mode:false-activation",0.518,Y,
30,N-SYRS.0414_B_A,NHTSA,SYRS.0414_B_A,System_State,"""Upon transitioning from SS8 back to the previous operational state, the ESCL shall restore the motor control context (Position/Duty Cycle) and resume movement within 50 ms. The deviation between the interruption position and resumption position shall be $\le \pm 0.1^\circ$",11508600,HONDA CIVIC 2022 [STEERING],"trigger:after ~30 minutes of driving, during slight left/right steering input | behavior:steering system should provide smooth, low-effort rotational response to driver input; instead, it exhibits high resistance followed by sudden release (stick-slip behavior), with transient near-locking sensation | fault_mode:state-stuck",0.6367,Y,
31,N-SYRS.0012_C_B,NHTSA,SYRS.0012_C_B,System_State,"""The system shall re-enter 'Normal Mode' from an abnormal voltage state only after the KL30 voltage has returned to the valid range [9V, 16V] and remained stable for at least 200ms",11445583,"TOYOTA CAMRY 2022 [STEERING,VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE]","trigger:vehicle startup or operation after delivery with minimal mileage (15 miles) | behavior:all ADAS and infotainment systems (ACC, AEB, BSW, FCW, LDW, LKA, PCW, RCTW, radio, backup camera) were expected to be fully functional per OEM specification; instead, they were non-operational and associated warning lights were illuminated | fault_mode:state-stuck",0.574,Y,
32,G-SYRS.1107_C_A,GitHub,SYRS.1107_C_A,Diagnostics_DEM,"""The system shall set the 'SCCM_steeringAngleSensorStatus' to 'OK' if and only if both Hall Sensor 1 and Hall Sensor 2 report error-free signals for a continuous duration of at least 10 ms",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.5362,N,
33,N-SYRS.0236_B_A,NHTSA,SYRS.0236_B_A,System_State,"""The system shall deactivate the 'Over Voltage Fault' (Heal) if the KL30 voltage remains continuously below 16.7 V (±5% tolerance, i.e., $\le 15.865\text{V}$) for a debounce duration of at least 50 ms",11451558,TOYOTA CAMRY 2021 [ELECTRICAL SYSTEM],"trigger:low battery voltage | behavior:ECU expected to maintain normal transmission and power steering control; instead, transmission and power steering functions became sluggish with no warning lights | fault_mode:sensor-error",0.5494,Y,
34,G-SYRS.0856_A,GitHub,SYRS.0856_A,Diagnostics_DEM,"""When a 'Systeminfo_01' timeout occurs, the Network Diagnostics (NWD) shall be deactivated if ANY of the following three conditions is met: 1) ZAS_KL_15 (Ignition) is OFF, OR 2) Power supply voltage is outside the nominal range [9 V, 17 V], OR 3) Timer TDIAG_START has not completed its full duration",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.6399,N,
35,G-SYRS.0537_C_B,GitHub,SYRS.0537_C_B,Diagnostic_Services,"""The system shall respond to the $200A request within P2_Server_Time (50 ms). If the NVM data integrity check (CRC-8) fails for the counter, the system SHALL return NRC $72 (GeneralProgrammingFailure) and reset the counter to a default value of 0x00",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.6789,N,
36,N-SYRS.0001_D,NHTSA,SYRS.0001_D,System_State,The current sampling mechanism shall support a measurement range of -300A to +300A with a precision of 0.1A and an accuracy within ±3.5A,11499563,HONDA CIVIC 2022 [STEERING],"trigger:vehicle speed above 40 mph, especially 60+ mph, with steering wheel near center position (±3–5 degrees) | behavior:expected: smooth, responsive power steering assist across entire steering range including center; actual: intermittent resistive, notchy, semi-stiff steering feel near centerline requiring constant minor over-correction to maintain lane | fault_mode:state-stuck",0.5018,Y,
37,G-SYRS.0719_A,GitHub,SYRS.0719_A,Diagnostics_DCM,"""The FES shall implement the UDS 'ECU Reset' service (0x11), supporting sub-function 'hardReset' (0x01), and perform a software reset upon a valid request",pylessard/python-udsoncan#159,Connection error after Reset,"trigger:ECU reset service (UDS 0x11) execution via DoIP transport | behavior:Expected: ECU resets and remains reachable for subsequent UDS session; Observed: Transport connection terminates abruptly with TCP RST or broken pipe, preventing reconnection | fault_mode:protocol non-compliance",0.7376,N,
38,N-SYRS.0087,NHTSA,SYRS.0087,IO_HMI,"If the 'Radio/Media' button is detected as released (after debounce), the system shall set the CAN signal 'CTRL_C_Stat1_AR::MediaKey_Psd' to FALSE (0x00)",11628069,"HONDA CIVIC 2022 [STRUCTURE,UNKNOWN OR OTHER]","trigger:activating reverse gear to engage backup camera system | behavior:system was expected to display real-time rear-view camera feed on dashboard display; instead, camera feed failed (blank, frozen, or absent) without warning | fault_mode:no-response",0.5683,Y,
39,N-SYRS.0726_B,NHTSA,SYRS.0726_B,System_State,"""The server (powered by terminal 30) shall maintain continuous 'Operational' state and service availability without interruption during a 'KeyOffOnReset' event",11583296,HONDA CIVIC 2022 [ELECTRICAL SYSTEM],"trigger:vehicle parked and unattended for 30 minutes | behavior:ECU failed to power down completely; system remained in powered-on state with warning lights illuminated and audible beeping, contrary to expected sleep/shutdown behavior | fault_mode:state-stuck",0.5447,Y,
40,G-SYRS.1125_B_B,GitHub,SYRS.1125_B_B,Communication_Stack,"""The system shall transmit the confirmed stalk status in the CAN/LIN signal 'SCCM_turnIndicatorStalkStatus'. 1. Value 0x0 (IDLE) if position is Neutral; 2. Value 0xF (Invalid) if sensor fault is detected. The transmission latency from status confirmation to bus output shall be $\le$ 80 ms",pylessard/python-udsoncan#237,Slow response on Windows for transfer data,"trigger:ISO-TP transfer data service (0x36) with NotifierBasedCanStack on Windows | behavior:Expected: minimal delay (~0–10ms) between positive response to TransferData request and transmission of next consecutive frame, per ISO-TP timing requirements (STmin=0, blocksize=32); Observed: ~150ms fixed inter-frame delay despite STmin=0 and custom busy-wait function | fault_mode:timing violation",0.6468,N,
41,N-SYRS.0231_B_A,NHTSA,SYRS.0231_B_A,Functional_Safety,"""Upon detection of a 'Confirmed Fault' (as defined in the Fault Classification), the system shall transition its internal Operational State to 'Error State",11551155,"HONDA CIVIC 2022 [STEERING,UNKNOWN OR OTHER,SERVICE BRAKES]","trigger:steering wheel requiring excessive force to turn, leading to over-steering and near-miss incidents | behavior:ECU should maintain power steering assist and brake system integrity during normal operation; instead, steering assist degraded (sticky feel), brake warning light illuminated, and multiple warning lights activated indicating loss of system monitoring or control | fault_mode:state-s",0.5466,Y,
42,N-SYRS.0249_B_A,NHTSA,SYRS.0249_B_A,Body_Control,"""If a 'Light Sensor Electronic Fault' is confirmed (per Diagnostic Specification DS_04), the system shall: 1. Set the LIN signal 'LS_Helligkeit_IR' to 255 (Invalid); 2. Register the corresponding DTC (Diagnostic Trouble Code) in NVM. Normal signal behavior shall resume only after the fault condition",11483672,TOYOTA COROLLA 2022 [VISIBILITY],"trigger:driving at approximately 15 MPH | behavior:blind spot sensor integrated in passenger-side mirror should remain functional and structurally intact; instead, mirror shattered and air bag warning light illuminated (indicating related ECU fault detection or bus communication error) | fault_mode:sensor-error",0.5928,Y,
43,N-SYRS.0111_A_A,NHTSA,SYRS.0111_A_A,IO_HMI,"""If the 'OFF/Mute' button is detected as released (after debounce), the system shall set the Update Bit signal 'CTRL_C_Stat1_AR::MuteKey_Psd_UB' to 1 in the immediate transmission frame",11435010,HONDA CIVIC 2022 [AIR BAGS],"trigger:unbuckling the seat belt after vehicle stop | behavior:expected: SRS system to remain operational and not generate false fault indication; actual: SRS warning light illuminates indicating airbag/seatbelt system fault, requiring ignition cycle to clear | fault_mode:false-activation",0.5745,Y,
44,G-SYRS.1152_A_A,GitHub,SYRS.1152_A_A,Diagnostics_DEM,"""The system shall set 'SCCM_turnIndicatorStalkStatus' to 'IDLE' if the absolute difference between the Hall sensor angle and the X/Y vector angle strictly exceeds 5.0 degrees for a continuous debounce duration of at least 50 ms",hardbyte/python-can#1755,SYSTEC: sending remote frame does not respect dlc value,trigger:SYSTEC CAN interface send() with is_remote_frame=True and dlc=8 | behavior:Expected remote frame transmission with DLC=8; observed remote frame transmitted with DLC=0 | fault_mode:protocol non-compliance,0.5377,N,
45,N-SYRS.0372_A_B,NHTSA,SYRS.0372_A_B,System_State,"""The system shall execute the status update defined in SYRS.0372_A_A (setting 'SNA') within 100 ms of the conditions being met",11616509,TOYOTA CAMRY 2021 [AIR BAGS],"trigger:vehicle operation at 30 MPH | behavior:SRS air bag system warning light illuminated with audible chime, indicating a detected fault in the air bag system; system was expected to remain silent and illuminate no warning under normal operating conditions | fault_mode:sensor-error",0.5051,Y,
46,G-SYRS.0581_A,GitHub,SYRS.0581_A,Diagnostics_DCM,"""The ESCL shall reject the PROXI File transfer with NRC 0x31 (Request Out of Range) if the received Configuration Code does not exactly match the expected value defined in reference SYRS 888",hardbyte/python-can#1755,SYSTEC: sending remote frame does not respect dlc value,trigger:SYSTEC CAN interface send() with is_remote_frame=True and dlc=8 | behavior:Expected remote frame transmission with DLC=8; observed remote frame transmitted with DLC=0 | fault_mode:protocol non-compliance,0.6406,N,
47,G-SYRS.0734_B_B,GitHub,SYRS.0734_B_B,Diagnostics_DCM,"""The system shall inhibit the transmission of NRC $78 if the final response can be generated and transmitted exactly at or before the 50.0 ms (P2) boundary",pylessard/python-udsoncan#232,"Problem with waiting time to response longer than 1,658 seconds","trigger:UDS RoutineControl service (0x31) with ControlType=0x01 (start routine) for EraseMemory (0xff00), under server-side long-running execution requiring NRC 0x78 (RequestCorrectlyReceived_ResponsePending) responses | behavior:Expected: client should continue accepting NRC 0x78 responses until either a positive response or final NRC is received, respecting P2* (P2 extended) timeout logic per IS",0.6461,N,
48,N-SYRS.0373_C_A,NHTSA,SYRS.0373_C_A,Functional_Safety,"""The System shall detect a 'Failsafe_Trigger_Condition'. Condition: ('BCM_COMMAND' missing for ≥ [T_BCM_TIMEOUT]) AND ('INT.Info' == Active) AND ('PowertrainPrplsnActv' == OFF)",11609213,TOYOTA CAMRY 2021 [ENGINE],"trigger:activating the air conditioning system while driving | behavior:ECU should maintain normal engine thermal management and not trigger master warning or 'Engine Maintenance Required' alert; instead, it erroneously activates both warnings indicating a perceived critical fault | fault_mode:false-activation",0.6062,Y,
49,G-SYRS.1101_A_B,GitHub,SYRS.1101_A_B,Diagnostics_DEM,"""To prevent control instability, the transition to SNA (0x3FFF) for the Steering Angle signal SHALL follow a 'Signal-Freeze' strategy for 2ms before latching to the SNA value",pylessard/python-can-isotp#63,Consecutive frame timeout not raised after a Flow Control triggered by block size.,"trigger:Flow Control frame sent in response to a First Frame (FF), followed by sender halting consecutive frame (CF) transmission before timeout | behavior:Expected: Consecutive frame timeout (N_Cr) must be raised when CFs are not received within the specified time after Flow Control; Observed: Timeout is not raised unless Flow Control was triggered by block counter reaching maximum, violating ISO",0.5417,N,
